生まれ年,年代,体力年齢,性別,身長,tests
1950.0,70代男性,50~54,男,164.0,握力（右）
1957.0,60代男性,35~39,男,165.0,握力（右）
1958.0,60代男性,30~34,男,164.0,握力（右）
1960.0,60代男性,45~49,男,170.0,握力（右）
1960.0,60代男性,65~69,男,167.0,握力（右）
1960.0,60代男性,45~49,男,174.0,握力（右）
1960.0,60代男性,50~54,男,173.0,握力（右）
1962.0,60代男性,50~54,男,173.0,握力（右）
1962.0,60代男性,45~49,男,170.0,握力（右）
1962.0,60代男性,40~44,男,166.0,握力（右）
1963.0,50代男性,30~34,男,170.0,握力（右）
1966.0,50代男性,50~54,男,175.0,握力（右）
1969.0,50代男性,20~24,男,171.5,握力（右）
1969.0,50代男性,50~54,男,167.0,握力（右）
1969.0,50代男性,45~49,男,177.0,握力（右）
1969.0,50代男性,40~44,男,170.0,握力（右）
1969.0,50代男性,30~34,男,172.0,握力（右）
1969.0,50代男性,50~54,男,158.0,握力（右）
1969.0,50代男性,35~39,男,168.0,握力（右）
1970.0,50代男性,35~39,男,167.0,握力（右）
1970.0,50代男性,55~59,男,171.0,握力（右）
1971.0,50代男性,20~24,男,173.0,握力（右）
1971.0,50代男性,35~39,男,160.0,握力（右）
1971.0,50代男性,25~29,男,180.0,握力（右）
1971.0,50代男性,50~54,男,167.0,握力（右）
1972.0,50代男性,25~29,男,171.0,握力（右）
1972.0,50代男性,30~34,男,172.0,握力（右）
1973.0,40代男性,FALSE,男,0.0,握力（右）
1974.0,40代男性,30~34,男,174.0,握力（右）
1974.0,40代男性,35~39,男,0.0,握力（右）
1974.0,40代男性,20~24,男,170.0,握力（右）
1974.0,40代男性,40~44,男,180.0,握力（右）
1974.0,40代男性,40~44,男,171.0,握力（右）
1975.0,40代男性,30~34,男,176.0,握力（右）
1975.0,40代男性,55~59,男,171.0,握力（右）
1975.0,40代男性,35~39,男,174.0,握力（右）
1976.0,40代男性,50~54,男,162.0,握力（右）
1976.0,40代男性,45~49,男,167.0,握力（右）
1977.0,40代男性,40~44,男,181.0,握力（右）
1977.0,40代男性,20~24,男,170.0,握力（右）
1979.0,40代男性,25~29,男,172.0,握力（右）
1979.0,40代男性,30~34,男,167.0,握力（右）
1979.0,40代男性,25~29,男,170.0,握力（右）
1979.0,40代男性,40~44,男,168.0,握力（右）
1980.0,40代男性,40~44,男,175.0,握力（右）
1980.0,40代男性,20~24,男,172.0,握力（右）
1980.0,40代男性,40~44,男,159.0,握力（右）
1981.0,40代男性,55~59,男,172.0,握力（右）
1981.0,40代男性,25~29,男,176.0,握力（右）
1981.0,40代男性,40~44,男,172.0,握力（右）
1982.0,40代男性,45~49,男,165.0,握力（右）
1982.0,40代男性,25~29,男,174.0,握力（右）
1982.0,40代男性,45~49,男,176.0,握力（右）
